lines,score,rewards,block_placed,episode_time,episode_length
0,0,-20.0,16,8.781258900009561,301
0,0,-20.0,16,8.002053699980024,283
0,0,-20.0,17,16.591369899979327,309
0,0,-20.0,18,17.791462199995294,316
0,0,-19.0,17,9.159115199989174,317
0,0,-19.0,18,18.95864339999389,339
0,0,-20.0,18,9.28454150003381,323
0,0,-19.0,12,10.535546700004488,226
0,0,-19.0,14,11.466452300024685,250
0,0,-20.0,17,15.211796000017785,305
0,0,-20.0,16,8.278634799993597,294
0,0,-20.0,14,10.717680600006133,240
0,0,-20.0,17,8.691326899977867,304
0,0,-20.0,20,17.105023099982645,350
0,0,-20.0,19,17.45222770003602,341
0,0,-20.0,15,7.714851600001566,275
0,0,-20.0,14,6.516196999989916,238
0,0,-20.0,22,19.59161360003054,393
0,0,-20.0,19,16.447738100017887,336
0,0,-20.0,14,6.524692400009371,236
0,0,-19.0,16,14.305176900001243,298
0,0,-20.0,20,10.896079999976791,379
0,0,-20.0,15,12.17237980000209,260
0,0,-20.0,18,16.05739549995633,321
0,0,-20.0,21,19.207098999992013,384
0,0,-20.0,15,7.586924400005955,267
0,0,-20.0,16,13.114274199993815,278
0,0,-20.0,20,10.267874300014228,358
0,0,-20.0,17,14.893268499989063,314
0,0,-20.0,22,19.128597100032493,388
0,0,-20.0,15,6.981536399980541,246
0,0,-20.0,11,7.964816499967128,176
0,0,-20.0,19,17.570996600028593,359
0,0,-20.0,23,12.348854299983941,419
0,0,-20.0,20,17.167509499995504,354
0,0,-20.0,12,9.355263000004925,196
0,0,-20.0,13,6.3860797000234015,226
0,0,-20.0,23,19.730719199986197,398
0,0,-20.0,15,7.137477500014938,256
0,0,-20.0,14,11.038125099963509,232
0,0,-19.0,13,10.929904000018723,232
0,0,-20.0,21,11.685759100015275,397
0,0,-20.0,22,20.37312559998827,409
0,0,-20.0,19,17.860205400036648,344
0,0,-20.0,17,8.850427699973807,305
0,0,-20.0,19,17.583939699979965,342
0,0,-19.0,16,7.9025472000357695,278
0,0,-20.0,12,9.707127299974672,208
0,0,-20.0,19,18.497626200027298,363
0,0,-20.0,16,8.383998900011647,289
0,0,-20.0,13,9.831273599993438,214
0,0,-19.0,16,14.831084599951282,301
0,0,-20.0,14,6.42729830002645,227
0,0,-20.0,9,6.0998416999937035,140
0,0,-20.0,18,16.300938500033226,325
0,0,-20.0,16,7.6931623999844305,269
0,0,-19.0,19,16.266607899975497,334
0,0,-20.0,12,10.071025799959898,213
0,0,-19.0,16,9.05449559999397,313
0,0,-20.0,19,18.372434900025837,344
0,0,-20.0,15,14.824739600007888,272
0,0,-20.0,21,11.812520599982236,387
0,0,-20.0,18,17.2170511999866,317
0,0,-20.0,13,11.174269099952653,222
0,0,-19.0,20,10.940710199996829,364
0,0,-19.0,15,12.525482199969701,255
0,0,-20.0,13,9.726649799966253,213
0,0,-20.0,15,7.653223900008015,262
0,0,-20.0,18,16.526205500005744,331
0,0,-20.0,16,15.5276003999752,275
0,0,-20.0,20,11.531621499976609,368
0,0,-20.0,14,16.030709700018633,247
0,0,-20.0,17,19.66020290000597,313
0,0,-20.0,20,11.11051819997374,367
0,0,-19.0,18,16.41804320004303,326
0,0,-20.0,18,16.998419000010472,324
0,0,-20.0,17,9.415501999959815,320
0,0,-20.0,21,17.423053700011224,347
0,0,-20.0,15,7.966508999990765,273
0,0,-20.0,15,13.464983800018672,265
0,0,-19.0,12,10.08536450000247,212
0,0,-19.0,17,9.267113199981395,319
0,0,-20.0,16,13.972078799968585,285
0,0,-20.0,14,12.302066600008402,249
0,0,-20.0,17,13.902143499988597,285
0,0,-20.0,21,11.936592699959874,395
