lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,26,69.185182,2391
0,0,0.0,27,79.925923,2699
0,0,0.0,32,94.401576,3254
0,0,0.0,27,81.408668,2786
0,0,0.0,20,59.223984,2035
0,0,0.0,23,71.003586,2369
0,0,0.0,21,58.512893,1947
0,0,0.0,25,75.758924,2627
0,0,0.0,22,72.642745,2455
0,0,0.0,15,45.48999,1492
0,0,0.0,20,65.941784,2244
0,0,0.0,23,74.826436,2429
0,0,0.0,22,62.854383,2148
0,0,0.0,29,78.932877,2744
0,0,0.0,22,68.493759,2288
0,0,0.0,18,56.811791,1902
0,0,0.0,16,53.168437,1791
1,280,280.0,28,94.101105,3158
0,0,0.0,26,78.510195,2692
0,0,0.0,20,64.631583,2208
0,0,0.0,23,73.111398,2526
0,0,0.0,21,66.383202,2248
0,0,0.0,22,60.013595,2060
0,0,0.0,24,74.267804,2501
0,0,0.0,25,70.671265,2485
0,0,0.0,19,60.825732,2028
0,0,0.0,30,92.117798,3179
0,0,0.0,21,61.752482,2059
0,0,0.0,20,62.348512,2085
0,0,0.0,24,60.961603,2092
