Wall time,Step,Value
1736748958.1570172,64,10.0
1736749040.2466915,334,15.0
1736749074.7427642,455,12.0
1736749170.9311583,786,12.0
1736749183.8762338,825,14.0
1736749203.7926745,894,13.0
1736749256.7262204,1083,12.0
1736749278.194475,1163,12.0
1736749377.6229901,1528,14.0
1736749397.9752407,1603,14.0
1736749523.4389718,2069,15.0
1736749583.8507378,2264,11.0
1736749617.2275062,2379,13.0
1736749781.8816557,2987,14.0
1736749890.2520113,3386,14.0
1736750038.1866596,3770,13.0
1736750071.7897243,3833,13.0
1736750147.6580462,4013,13.0
1736750239.0442662,4221,13.0
1736750290.0917528,4338,13.0
1736750308.828862,4402,15.0
1736750351.5214202,4556,12.0
1736750500.5310433,4984,13.0
1736751242.5062943,55,13.0
1736751292.0222495,235,15.0
1736751442.5970302,902,11.0
1736751499.1093297,1162,17.0
1736751543.221937,1389,15.0
1736751605.891358,1709,13.0
1736751663.8082178,2013,18.0
1736751836.5544262,2913,14.0
1736751994.7160997,3756,16.0
1736752013.814375,3850,15.0
1736752089.729371,4248,12.0
1736752223.5201504,4903,15.0
1736752866.3404322,304,11.0
1736752937.4784453,632,13.0
1736753079.4615188,1298,14.0
1736753118.8571844,1490,13.0
1736753618.7411654,3871,12.0
1736753627.5623777,3914,12.0
1736753843.5807137,4925,15.0
1736753885.3860545,5124,16.0
1736753922.303882,5306,18.0
1736754113.4504695,6232,18.0
1736754142.8210537,6375,15.0
1736754151.9773192,6420,12.0
1736754255.6950815,6929,16.0
1736754474.7128935,7992,19.0
1736754501.5264852,8124,16.0
1736754781.4991028,9477,24.0
1736755019.0110118,10536,28.0
1736755118.9894478,10925,18.0
1736760877.336818,40333,23.0
1736761005.279428,40985,18.0
1736761074.9528744,41332,17.0
1736761102.3245745,41477,21.0
1736761164.7850943,41769,16.0
1736761177.6215038,41837,17.0
1736761375.33255,42905,18.0
1736761607.1659138,44182,17.0
1736761629.8254766,44306,14.0
1736761779.1522577,45132,18.0
1736761868.1928444,45626,13.0
1736761879.3778536,45689,15.0
1736761904.040966,45826,18.0
1736761933.1038318,45987,11.0
1736761959.4232044,46132,19.0
1736762123.448844,47002,17.0
1736762257.6887157,47739,19.0
1736762413.5755916,48601,16.0
1736762477.2219746,48957,17.0
1736762811.8943992,50816,14.0
1736762862.5040767,51100,20.0
1736762918.1790252,51411,16.0
1736762930.726417,51482,17.0
1736763019.3332264,51976,19.0
1736763142.0484555,52654,17.0
1736763198.2207222,52968,19.0
1736763246.6703603,53240,16.0
1736763303.860655,53556,15.0
1736763357.4840786,53848,15.0
1736763462.76726,54426,14.0
1736763506.2309399,54670,14.0
1736763528.641195,54794,18.0
1736763549.2076027,54908,14.0
1736763630.0360208,55359,15.0
1736763688.825991,55679,15.0
1736763716.5033357,55833,17.0
1736763785.3859475,56216,20.0
1736763808.8691013,56349,14.0
1736763859.1686423,56629,17.0
1736763914.2195435,56935,17.0
1736763990.9301558,57365,18.0
1736764003.8231158,57434,17.0
1736764278.1153712,58973,18.0
1736764331.1607254,59268,17.0
1736764758.2786763,61630,19.0
1736764851.008294,62143,19.0
1736764933.7646995,62607,18.0
1736765097.3039186,63532,19.0
1736765144.8706133,63800,16.0
1736765241.074361,64336,23.0
1736765272.0374792,64506,22.0
1736765350.5900087,64947,21.0
1736765379.9197516,65112,21.0
1736765575.527572,66215,17.0
1736765590.5581977,66298,21.0
1736765734.3645926,67096,23.0
1736765774.962649,67324,21.0
1736765898.1682715,67996,18.0
1736765954.2953563,68312,20.0
1736766016.8833668,68655,20.0
1736766150.4629152,69397,21.0
1736766164.0257275,69473,18.0
1736766242.158873,69912,23.0
1736766257.0393906,69992,20.0
1736766332.9987886,70415,27.0
1736766534.1331995,71533,30.0
1736766623.3140035,72022,23.0
1736766669.5215106,72279,23.0
1736766800.3570817,73006,17.0
1736766949.91867,73843,24.0
1736767233.1768582,75418,15.0
1736767423.3953006,76481,18.0
1736767502.0112567,76917,12.0
1736767542.6334078,77143,18.0
1736767570.4477634,77300,21.0
1736767629.4491625,77633,24.0
1736767722.2018137,78152,25.0
1736767801.606982,78591,21.0
1736767963.0448184,79484,24.0
1736768055.4064803,79999,22.0
1736768134.1778395,80440,21.0
1736768300.659654,81329,22.0
1736768395.4535341,81853,23.0
1736768961.359508,85008,16.0
1736769014.6624115,85303,18.0
1736769029.9460177,85389,21.0
1736769042.1942942,85455,17.0
1736769305.0399542,86912,20.0
1736769463.5911543,87802,13.0
1736769479.6672883,87892,22.0
1736769568.10397,88386,23.0
1736769668.8932512,88950,20.0
1736770077.8941147,91144,25.0
1736770251.5930798,92095,15.0
1736770411.324523,92998,17.0
1736770455.677944,93251,19.0
1736770500.5032275,93501,18.0
1736770779.285123,95077,19.0
1736770857.2759318,95516,19.0
1736770959.3872643,96098,17.0
1736771047.751391,96596,19.0
1736771195.787315,97438,24.0
1736771299.573708,98026,24.0
1736771342.4245348,98268,18.0
1736771524.7637546,99292,27.0
1736771573.5482643,99565,22.0
1736771620.7841172,99830,21.0
1736771637.9834752,99925,24.0
1736772360.7240167,103890,17.0
1736772404.2642584,104130,18.0
1736772456.6526396,104422,24.0
1736772470.837451,104501,21.0
1736772826.7035406,106475,24.0
1736773013.5208232,107487,24.0
1736773049.1289244,107684,25.0
1736773107.765853,108006,16.0
1736773164.8872159,108320,17.0
1736773228.4061708,108670,21.0
1736773630.9134934,110870,22.0
1736773646.4193041,110958,21.0
1736773829.6368783,111956,15.0
1736773959.4414334,112664,23.0
1736774022.5716472,113014,23.0
1736774055.567925,113194,25.0
1736774341.0722265,114720,23.0
1736774553.2353992,115874,23.0
1736774622.141578,116254,20.0
1736775041.279302,118550,21.0
1736775311.7013166,120049,27.0
1736775329.9856372,120153,26.0
1736775569.307622,121465,19.0
1736775630.9006522,121810,21.0
1736775897.038399,123297,20.0
1736775911.8285196,123379,20.0
1736776121.9937313,124551,25.0
1736776268.2767463,125372,22.0
1736776346.1474478,125814,24.0
1736776428.719402,126277,22.0
1736776480.4723828,126559,25.0
1736776568.3140438,127039,25.0
1736776613.1426275,127291,20.0
1736776805.541963,128369,20.0
1736776939.142078,129114,28.0
1736777058.164559,129782,27.0
1736777165.5438542,130386,21.0
1736777319.691871,131260,26.0
1736777389.9557977,131657,22.0
1736777405.0747216,131742,21.0
1736777420.6566586,131830,20.0
1736777458.6064715,132041,25.0
1736777505.5295513,132305,24.0
1736777624.8859644,132979,25.0
1736777782.031488,133859,23.0
1736777950.133571,134801,28.0
1736778016.817659,135176,27.0
1736778053.0765052,135379,24.0
1736778108.1744096,135690,26.0
1736778194.5489497,136179,26.0
1736778244.2858777,136458,22.0
1736778265.1601994,136575,30.0
1736778285.7009273,136685,24.0
1736778621.673461,138557,29.0
1736778778.6548448,139428,21.0
1736778881.267182,140007,24.0
1736779006.1706083,140692,25.0
1736779023.0446153,140787,22.0
1736779178.6945984,141655,21.0
1736779297.0403478,142321,21.0
1736779645.5004063,144286,23.0
1736779708.2988377,144640,24.0
1736779867.5850759,145539,23.0
1736779936.0428193,145929,24.0
1736780096.796789,146677,26.0
1736780348.791144,148035,26.0
1736780411.9778295,148373,27.0
1736780507.5631518,148903,25.0
1736780544.27295,149099,24.0
1736781152.1028442,152499,28.0
1736781252.681146,153060,25.0
1736781539.33458,154657,21.0
1736781575.4306178,154857,23.0
1736781705.0773387,155581,24.0
1736781759.2460103,155886,23.0
1736781791.8166149,156067,24.0
1736782125.2925832,157912,23.0
1736782363.9564965,159247,27.0
1736782401.146537,159456,22.0
1736782707.7148626,161145,21.0
1736782782.5972476,161559,28.0
1736782914.046371,162297,23.0
1736783208.2331772,163930,23.0
1736783311.897505,164511,22.0
1736783722.4628475,166797,26.0
1736783974.8630757,167875,28.0
1736783993.4025793,167973,25.0
1736784046.34779,168258,27.0
1736784063.5243447,168352,24.0
1736784097.7641897,168540,25.0
1736784133.0972626,168735,24.0
1736784205.0622814,169125,26.0
1736784267.5634735,169464,23.0
1736784354.2648847,169935,22.0
1736784390.3493614,170135,27.0
1736784700.96822,171697,27.0
1736785431.4876652,175611,22.0
1736785518.377663,176092,22.0
1736785562.685782,176335,23.0
