Wall time,Step,Value
1737090254.8831084,1018633,32.0
1737090288.1836963,1018794,35.0
1737090415.386394,1019233,30.0
1737090446.375633,1019379,33.0
1737090502.0910556,1019667,34.0
1737090539.4628034,1019849,33.0
1737090570.3409808,1020010,35.0
1737090623.219062,1020289,28.0
1737090650.3889577,1020426,33.0
1737090683.367756,1020572,32.0
1737090709.3330991,1020703,32.0
1737090837.4603035,1021328,33.0
1737091097.4593484,1022605,31.0
1737091124.379592,1022737,31.0
1737091184.4046452,1023029,33.0
1737091272.839618,1023465,30.0
1737091297.0102022,1023583,29.0
1737091348.9368427,1023845,31.0
1737091405.6558273,1024123,33.0
1737091433.030979,1024260,35.0
1737091502.9489698,1024596,34.0
1737091568.4034362,1024907,27.0
1737091595.9734607,1025043,33.0
1737091675.4885125,1025440,33.0
1737091705.9543424,1025583,29.0
1737091737.8341157,1025738,33.0
1737091764.147833,1025870,32.0
1737091791.3498743,1026005,33.0
1737091876.4950564,1026407,35.0
1737091900.854655,1026524,29.0
1737091949.5565324,1026764,23.0
1737092016.521827,1027073,33.0
1737092042.7338889,1027205,32.0
1737092071.5861716,1027349,35.0
1737092103.1967685,1027499,32.0
1737092191.351434,1027931,30.0
1737092220.4596183,1028072,35.0
1737092252.8892329,1028228,31.0
1737092286.3864033,1028387,34.0
1737092340.8975446,1028662,34.0
1737092421.9388232,1029069,32.0
1737092581.0228024,1029832,32.0
1737092609.0717733,1029972,34.0
1737092643.5873337,1030132,34.0
1737092677.6976726,1030297,34.0
1737092706.0227149,1030438,35.0
1737092731.6154664,1030565,29.0
1737092890.2431812,1031321,28.0
1737093138.209307,1032513,35.0
1737093220.646241,1032910,30.0
1737093249.0449104,1033047,30.0
1737093431.2498825,1033901,30.0
1737093514.970129,1034267,33.0
1737093574.5727618,1034519,35.0
1737093601.262768,1034635,31.0
1737093631.3588223,1034768,36.0
1737093752.6661055,1035278,32.0
1737093785.2998416,1035416,32.0
1737093812.2483332,1035531,31.0
1737093906.1945891,1035856,29.0
1737093936.060471,1035967,33.0
1737094013.0293689,1036244,29.0
1737094132.8860688,1036749,31.0
1737094189.5229013,1036979,30.0
1737094240.2602293,1037200,32.0
1737094264.2493038,1037306,29.0
1737094289.9561615,1037417,31.0
1737094319.9051886,1037542,30.0
1737094422.7277505,1037996,31.0
1737094480.0154881,1038238,32.0
1737094576.7233746,1038650,35.0
1737094609.3129218,1038786,34.0
1737094636.4492698,1038907,32.0
1737094693.51703,1039147,33.0
1737094722.8621254,1039270,29.0
1737094746.8547492,1039375,28.0
1737094825.25801,1039708,31.0
1737094883.8015301,1039950,31.0
1737094907.8880649,1040057,29.0
1737094956.4359274,1040291,33.0
1737094984.5856535,1040412,36.0
1737095068.780527,1040779,34.0
1737095209.6498709,1041384,33.0
1737095237.2896857,1041508,33.0
1737095265.6002946,1041626,27.0
1737095319.9187346,1041844,30.0
1737095358.180084,1041958,34.0
1737095412.6961002,1042157,31.0
1737095480.337982,1042386,29.0
1737095507.6042562,1042486,31.0
1737095531.857594,1042575,28.0
1737095554.8972013,1042664,28.0
1737095624.3939335,1042910,34.0
1737095659.8274062,1043033,33.0
1737095853.8895104,1043751,29.0
1737095978.1549199,1044198,32.0
1737096088.067933,1044602,28.0
1737096122.4399173,1044723,34.0
1737096150.3125427,1044824,32.0
1737096277.4947035,1045280,32.0
1737096365.6567366,1045594,33.0
1737096445.6220665,1045887,30.0
1737096482.3974037,1046010,36.0
1737096581.0956244,1046326,32.0
1737096608.9737527,1046420,28.0
1737096680.331388,1046659,32.0
1737096710.091188,1046768,34.0
1737096735.9157157,1046860,29.0
1737096792.4188292,1047062,30.0
1737096822.6242886,1047170,33.0
1737096879.3948746,1047377,28.0
1737096907.9517689,1047482,32.0
1737096946.4138966,1047601,31.0
1737097030.5533326,1047913,31.0
1737097121.015844,1048233,34.0
1737097266.9556305,1048743,31.0
1737097321.6156404,1048941,32.0
1737097391.4142282,1049181,33.0
1737097416.6622193,1049280,29.0
1737097580.0359066,1049872,29.0
1737097667.9454854,1050245,35.0
1737097699.1147177,1050379,37.0
1737097731.564367,1050507,28.0
1737097759.644177,1050626,26.0
1737097808.2121892,1050851,31.0
1737097908.9426746,1051315,31.0
1737097974.5645633,1051541,32.0
1737098028.4287815,1051735,32.0
1737098080.805155,1051933,32.0
1737098213.2161448,1052442,35.0
1737098267.1139932,1052655,31.0
1737098390.235824,1053099,30.0
1737098530.536769,1053594,27.0
1737098584.319784,1053745,30.0
1737098611.9249647,1053837,31.0
1737098699.9143252,1054142,33.0
1737098748.427312,1054357,31.0
1737098768.780111,1054452,27.0
1737098792.42947,1054567,31.0
1737098837.3994486,1054776,29.0
1737098867.821413,1054907,32.0
1737098890.637463,1055014,30.0
1737098984.9484367,1055460,29.0
1737099009.3584714,1055577,34.0
1737099074.4309828,1055857,34.0
1737099150.306011,1056212,33.0
1737099253.6382923,1056698,32.0
1737099287.0251195,1056821,31.0
1737099321.16198,1056944,33.0
1737099347.4912207,1057043,31.0
1737099405.4263866,1057253,36.0
1737099501.5816872,1057587,30.0
1737099526.2440104,1057678,29.0
1737099560.4365404,1057801,38.0
1737099647.1891305,1058144,32.0
1737099670.9602098,1058232,27.0
1737099721.5788798,1058435,33.0
1737099875.1575232,1059110,32.0
1737099943.9152064,1059349,30.0
1737100023.747794,1059662,26.0
1737100048.8058932,1059762,31.0
1737100100.127527,1059947,28.0
1737100130.1575747,1060049,33.0
1737100305.6849787,1060690,39.0
1737100351.04457,1060872,33.0
1737100417.9581625,1061182,31.0
1737100479.185989,1061427,32.0
1737100511.0939898,1061553,30.0
1737100534.8834991,1061658,28.0
1737100621.7527857,1062028,31.0
1737100649.3212523,1062150,34.0
1737100730.7168703,1062507,32.0
1737100759.7729938,1062635,35.0
1737100821.3572235,1062882,27.0
1737100850.6585088,1063008,34.0
1737100909.7415297,1063258,33.0
1737101026.845846,1063758,36.0
1737101060.7126625,1063902,34.0
1737101087.2658186,1064015,24.0
1737101141.3538573,1064248,34.0
1737101192.5715067,1064358,33.0
1737101281.3427174,1064702,33.0
1737101313.1016357,1064811,31.0
1737101341.6773403,1064907,31.0
1737101374.3652294,1065026,33.0
1737101426.9119127,1065224,29.0
1737101454.5497642,1065326,32.0
1737101485.5150237,1065431,34.0
1737101519.3332298,1065547,32.0
1737101770.0749874,1066457,34.0
1737101805.3652453,1066571,32.0
1737101863.8755226,1066774,26.0
1737101938.5304081,1067050,26.0
1737102123.30018,1067706,36.0
1737102158.2368972,1067803,30.0
1737102274.1606507,1068181,29.0
1737102298.3810182,1068264,30.0
1737102323.1472027,1068350,31.0
1737102375.2215323,1068516,28.0
1737102427.7276134,1068685,33.0
1737102547.667287,1069153,30.0
1737102804.5046222,1070133,29.0
1737102836.4705644,1070232,34.0
1737102879.3029752,1070353,34.0
1737102919.1737895,1070470,32.0
1737102980.214575,1070663,32.0
1737103006.090037,1070747,27.0
1737103094.0763073,1071037,32.0
1737103182.219146,1071323,33.0
1737103415.8935225,1072056,29.0
1737103441.2787871,1072154,31.0
1737103471.2757792,1072245,30.0
1737103499.0265749,1072326,31.0
1737103548.39134,1072496,34.0
1737103570.4546201,1072576,27.0
1737103595.758076,1072661,30.0
1737103663.0184789,1072864,32.0
1737103687.4702775,1072945,30.0
1737103717.8704653,1073049,36.0
1737103780.8386538,1073229,32.0
1737103855.1316204,1073445,31.0
1737103885.7326627,1073546,33.0
1737104013.103325,1073941,34.0
1737104244.4903157,1074943,30.0
1737104331.8020892,1075229,32.0
1737104361.7994356,1075332,31.0
1737104433.2227817,1075536,29.0
1737104511.9228983,1075753,33.0
1737104619.3544817,1076092,33.0
1737104953.5198283,1077179,33.0
1737105036.794544,1077482,32.0
1737105062.5802357,1077570,29.0
1737105089.617594,1077664,31.0
1737105155.6490698,1077892,33.0
1737105211.1787832,1078097,31.0
1737105236.0004072,1078197,30.0
1737105290.5137308,1078378,34.0
1737105453.8911464,1078903,31.0
1737105482.7309854,1078998,32.0
1737105681.471637,1079641,32.0
1737105740.1292434,1079814,31.0
1737105767.211022,1079913,31.0
1737105799.9158363,1080038,37.0
1737105841.2760396,1080156,33.0
1737105883.9777222,1080256,33.0
1737105918.6509476,1080361,29.0
1737105944.848924,1080446,29.0
1737105974.597276,1080544,34.0
1737106001.1584573,1080631,29.0
1737106025.562863,1080723,29.0
1737106075.2719445,1080909,29.0
1737106161.60748,1081202,33.0
1737106198.8115516,1081318,30.0
1737106225.7455857,1081405,30.0
1737106292.8512871,1081606,30.0
1737106402.925493,1081986,34.0
1737106457.8792045,1082172,33.0
1737106520.290602,1082373,32.0
1737106670.4700408,1082801,27.0
1737106705.5160658,1082899,33.0
1737106755.9587479,1083017,38.0
1737106828.1130729,1083209,32.0
1737106905.1091726,1083407,32.0
1737106979.1201003,1083614,32.0
1737107044.7918267,1083834,30.0
1737107080.5413108,1083915,32.0
1737107180.7013195,1084178,26.0
1737107235.9504385,1084367,32.0
1737107267.2693734,1084442,30.0
1737107294.5081446,1084526,28.0
1737107332.415049,1084606,34.0
1737107363.425749,1084705,33.0
1737107394.8143077,1084798,33.0
1737107461.0817268,1084976,31.0
1737107500.6821656,1085058,33.0
1737107702.6610525,1085539,34.0
1737107739.2910733,1085603,32.0
1737107802.4423187,1085759,30.0
1737107845.9452353,1085825,32.0
1737107887.8115304,1085920,29.0
1737108003.4500577,1086127,31.0
1737108103.7904875,1086277,27.0
1737108184.9248576,1086421,30.0
1737108280.4770467,1086553,34.0
1737108372.2273102,1086697,31.0
1737108435.5042682,1086913,30.0
1737108461.2411401,1087023,32.0
1737108483.6042593,1087125,29.0
1737108561.785153,1087472,32.0
1737108647.0970926,1087871,30.0
1737108665.938792,1087959,23.0
1737108712.0787158,1088176,29.0
1737108735.8404799,1088286,31.0
1737108779.8558013,1088491,24.0
1737108878.83081,1088945,28.0
1737109037.627298,1089531,32.0
1737109327.4366493,1089995,32.0
1737109361.6227837,1090048,28.0
1737109435.1671505,1090163,27.0
1737109492.8210297,1090240,33.0
1737109539.8849976,1090299,29.0
1737109580.1368933,1090359,34.0
1737109618.3223255,1090415,33.0
1737109658.2264686,1090470,32.0
1737109738.2641714,1090584,32.0
1737109776.6369524,1090638,30.0
1737109935.2182467,1090861,33.0
1737109980.0059292,1090931,33.0
1737110087.9391897,1091075,34.0
1737110173.9390497,1091217,34.0
1737110293.0475047,1091391,33.0
1737110382.1792212,1091524,34.0
1737110436.3953865,1091591,30.0
1737110474.8241265,1091648,31.0
1737110610.286958,1091846,30.0
1737110645.2156334,1091906,30.0
1737110687.4756758,1091975,35.0
1737110741.604324,1092092,29.0
1737110775.3835084,1092218,34.0
1737110835.6201637,1092454,32.0
1737110859.5347736,1092564,30.0
1737110889.8249187,1092700,33.0
1737110943.9787269,1092945,31.0
1737110965.120946,1093045,28.0
1737110987.9384024,1093151,31.0
1737111011.8902085,1093263,32.0
1737111037.4161415,1093374,33.0
1737111064.937781,1093498,36.0
1737111120.6821609,1093747,36.0
1737111152.1722689,1093885,32.0
1737111226.644055,1094239,32.0
1737111327.3734336,1094704,31.0
1737111422.4100475,1095046,33.0
1737111457.9126446,1095152,35.0
1737111488.6115568,1095260,31.0
1737111565.9791632,1095527,32.0
1737111594.292648,1095627,30.0
1737111620.8505056,1095733,29.0
1737111658.3228004,1095842,33.0
1737111741.390111,1096124,38.0
1737111779.1803658,1096256,32.0
1737111807.6965,1096357,30.0
1737111914.5416186,1096850,33.0
1737112020.925866,1097343,29.0
1737112049.5756304,1097472,31.0
1737112097.6603563,1097697,30.0
1737112122.1776402,1097814,33.0
1737112150.9135382,1097944,32.0
1737112175.5841222,1098063,33.0
1737112200.3339527,1098182,32.0
1737112225.293856,1098296,26.0
1737112311.0685458,1098685,29.0
1737112329.8624153,1098776,24.0
1737112478.870356,1099485,33.0
1737112528.5807543,1099718,33.0
1737112555.9871783,1099843,29.0
1737112580.9680607,1099959,33.0
1737112606.8893242,1100078,33.0
1737112659.4257362,1100324,33.0
1737112738.3544042,1100691,31.0
1737112760.988604,1100798,31.0
1737112844.0547724,1101183,35.0
1737112874.2573242,1101320,33.0
1737112903.2655864,1101449,32.0
1737112956.8792143,1101699,33.0
1737113003.3703187,1101913,30.0
1737113076.3729875,1102263,35.0
1737113101.2019126,1102375,26.0
1737113156.3127987,1102634,32.0
1737113225.100813,1102963,30.0
1737113245.679904,1103061,26.0
1737113269.513236,1103176,32.0
1737113316.4193618,1103401,33.0
1737113339.819868,1103516,32.0
1737113363.1402252,1103626,29.0
1737113424.3850965,1103905,32.0
1737113448.8349187,1104020,31.0
1737113479.4908357,1104160,34.0
1737113604.3460712,1104744,34.0
1737113726.9004946,1105314,38.0
