Wall time,Step,Value
1737090093.5033615,1018036,5303.0
1737090095.7386055,1018041,5303.0
1737090128.2039065,1018124,5303.0
1737090151.9776676,1018194,5303.0
1737090232.6341326,1018529,5309.0
1737090302.290473,1018844,5314.0
1737090307.2626212,1018866,5314.0
1737090329.695393,1018945,5315.0
1737090345.2599082,1019002,5315.0
1737090377.233408,1019113,5315.0
1737090379.1643255,1019119,5315.0
1737090386.6131063,1019144,5315.0
1737090538.4731097,1019844,5321.0
1737090593.5020366,1020134,5321.0
1737090630.3943295,1020326,5322.0
1737090636.1528375,1020355,5322.0
1737090682.240033,1020567,5324.0
1737090692.7483504,1020619,5325.0
1737090754.0085633,1020918,5327.0
1737090760.6493623,1020952,5327.0
1737090834.4697094,1021312,5330.0
1737090839.4522038,1021338,5330.0
1737090862.2824154,1021453,5331.0
1737090980.193525,1022032,5335.0
1737091022.6800668,1022236,5337.0
1737091071.049932,1022470,5340.0
1737091101.997195,1022626,5341.0
1737091171.4140384,1022964,5346.0
1737091238.5295331,1023300,5347.0
1737091289.9666326,1023549,5350.0
1737091292.3720891,1023561,5350.0
1737091304.13769,1023618,5350.0
1737091307.3787203,1023635,5350.0
1737091346.9639375,1023835,5350.0
1737091358.3835206,1023885,5352.0
1737091394.8344607,1024067,5353.0
1737091419.2484658,1024190,5353.0
1737091509.2420022,1024620,5358.0
1737091536.1573875,1024754,5360.0
1737091632.2288253,1025224,5365.0
1737091668.4456441,1025404,5366.0
1737091670.8885946,1025416,5366.0
1737091769.3813248,1025896,5372.0
1737091796.6152043,1026032,5373.0
1737091829.818342,1026196,5377.0
1737091855.8022592,1026319,5378.0
1737091933.3069468,1026682,5380.0
1737091993.5306652,1026957,5383.0
1737092084.624395,1027405,5386.0
1737092136.8609645,1027668,5386.0
1737092181.035399,1027879,5391.0
1737092261.6569123,1028264,5394.0
1737092300.8045588,1028460,5397.0
1737092314.6009448,1028530,5398.0
1737092316.395098,1028538,5398.0
1737092320.5560796,1028559,5399.0
1737092341.089053,1028663,5401.0
1737092342.0242243,1028668,5401.0
1737092352.0097558,1028718,5402.0
1737092356.1027107,1028738,5402.0
1737092379.697388,1028856,5403.0
1737092512.4507823,1029507,5410.0
1737092570.5940585,1029780,5413.0
1737092782.9737551,1030806,5423.0
1737092855.3820083,1031148,5427.0
1737092857.872264,1031160,5427.0
1737092963.851164,1031679,5431.0
1737093034.2071757,1032016,5435.0
1737093047.6183603,1032082,5437.0
1737093048.457533,1032087,5438.0
1737093096.7761908,1032313,5440.0
1737093248.2568727,1033042,5445.0
1737093358.1881218,1033590,5450.0
1737093359.7289202,1033598,5450.0
1737093403.048771,1033776,5451.0
1737093462.9963439,1034038,5454.0
1737093524.657633,1034309,5454.0
1737093530.4880865,1034334,5454.0
1737093626.7092755,1034745,5458.0
1737093657.4501522,1034868,5459.0
1737093730.9530594,1035182,5461.0
1737093789.1950967,1035430,5464.0
1737093885.0688426,1035786,5465.0
1737093918.077002,1035906,5466.0
1737093992.432711,1036173,5468.0
1737094072.129587,1036484,5472.0
1737094149.5124667,1036811,5474.0
1737094163.8617933,1036873,5474.0
1737094298.9140782,1037448,5478.0
1737094302.2031348,1037464,5478.0
1737094308.8298423,1037493,5478.0
1737094400.3656642,1037896,5482.0
1737094411.7347229,1037948,5482.0
1737094448.6500359,1038103,5485.0
1737094492.7634625,1038295,5486.0
1737094568.1781864,1038612,5493.0
1737094646.6546786,1038944,5498.0
1737094700.4717376,1039171,5500.0
1737094723.0267673,1039271,5502.0
1737094904.5988066,1040046,5508.0
1737094915.988419,1040095,5508.0
1737094961.288033,1040314,5512.0
1737095070.8541636,1040788,5514.0
1737095189.4442174,1041293,5518.0
1737095225.5471869,1041456,5519.0
1737095300.500958,1041777,5523.0
1737095360.3659058,1041966,5525.0
1737095366.2279413,1041988,5525.0
1737095397.6534708,1042100,5526.0
