Wall time,Step,Value
1736760803.759556,40014,16.0
1736760804.4251363,40016,16.0
1736760810.739111,40033,16.0
1736760812.1112401,40037,16.0
1736760820.6984577,40057,16.0
1736760821.5340326,40060,16.0
1736760824.4593627,40071,16.0
1736760828.0949693,40086,16.0
1736760828.8214118,40089,16.0
1736760833.0970879,40106,16.0
1736760834.5561852,40112,16.0
1736760836.3140006,40119,16.0
1736760838.5144205,40131,16.0
1736760839.2541661,40135,16.0
1736760848.661817,40184,16.0
1736760849.369905,40187,16.0
1736760855.95807,40221,16.0
1736760858.225586,40233,16.0
1736760865.8849745,40273,16.0
1736760871.74176,40304,16.0
1736760880.5258286,40350,16.0
1736760884.2099283,40369,16.0
1736760897.2380517,40438,16.0
1736760898.67347,40446,16.0
1736760899.3952188,40450,16.0
1736760900.1157427,40454,16.0
1736760903.3793068,40471,16.0
1736760904.8541713,40479,16.0
1736760905.593166,40483,16.0
1736760908.5367436,40497,16.0
1736760916.4455354,40536,16.0
1736760922.2550983,40567,16.0
1736760931.7318876,40616,16.0
1736760934.742058,40632,16.0
1736760936.2746,40638,16.0
1736760939.1840792,40651,16.0
1736760947.361909,40693,16.0
1736760948.080984,40698,16.0
1736760954.2077937,40728,16.0
1736760954.9351676,40732,16.0
1736760957.0787497,40744,16.0
1736760961.4572732,40768,16.0
1736760966.837235,40795,16.0
1736760974.7756178,40838,16.0
1736760976.8443472,40849,16.0
1736760979.812837,40865,16.0
1736760980.538737,40869,16.0
1736760988.5364485,40911,16.0
1736760989.961878,40918,16.0
1736761002.9891503,40973,16.0
1736761003.7431104,40977,16.0
1736761004.4611235,40980,16.0
1736761010.1245823,41006,16.0
1736761020.7609677,41061,16.0
1736761023.670944,41075,16.0
1736761032.9017324,41124,16.0
1736761036.570427,41142,16.0
1736761047.3337078,41195,16.0
1736761050.2184737,41210,16.0
1736761051.050694,41215,16.0
1736761055.6746194,41236,16.0
1736761061.6378245,41265,16.0
1736761063.1375127,41271,16.0
1736761065.643744,41285,16.0
1736761073.7075787,41325,16.0
1736761078.1196034,41349,16.0
1736761083.954755,41380,16.0
1736761085.4051518,41386,16.0
1736761087.108542,41395,16.0
1736761088.576033,41404,16.0
1736761092.3563395,41425,16.0
1736761095.3247044,41439,16.0
1736761108.886627,41505,16.0
1736761113.2244036,41518,16.0
1736761114.9105163,41525,16.0
1736761116.0536072,41528,16.0
1736761116.8437445,41530,16.0
1736761118.6719103,41538,16.0
1736761119.684746,41542,16.0
1736761127.529126,41575,16.0
1736761130.3400834,41590,16.0
1736761131.1391532,41595,16.0
1736761138.4176073,41633,16.0
1736761141.9620771,41652,16.0
1736761146.304066,41674,16.0
1736761149.176095,41689,16.0
1736761150.6631393,41697,16.0
1736761157.2134228,41732,16.0
1736761160.8035681,41751,16.0
1736761161.5401356,41755,16.0
1736761165.7726932,41773,16.0
1736761166.536176,41777,16.0
1736761169.461913,41792,16.0
1736761170.1647475,41796,16.0
1736761170.8785567,41800,16.0
