Wall time,Step,Value
1736760813.3200607,40042,20.0
1736760834.7025278,40113,19.0
1736760847.679623,40177,18.0
1736760860.5668888,40245,18.0
1736760877.336818,40333,23.0
1736760890.447285,40402,18.0
1736760900.2678936,40455,13.0
1736760914.7220376,40528,17.0
1736760927.736467,40595,18.0
1736760938.1773787,40647,13.0
1736760951.8384566,40716,18.0
1736760965.909643,40790,19.0
1736760976.664157,40848,15.0
1736760991.0983078,40925,19.0
1736761005.279428,40985,18.0
1736761015.364636,41033,14.0
1736761027.6107988,41096,16.0
1736761040.2848363,41163,17.0
1736761050.926792,41215,14.0
1736761063.2923717,41273,16.0
1736761074.9528744,41332,17.0
1736761086.9620156,41395,16.0
1736761102.3245745,41477,21.0
1736761116.4602048,41530,15.0
1736761130.1423497,41589,17.0
1736761138.7453358,41636,12.0
1736761152.5653858,41708,18.0
1736761164.7850943,41769,16.0
1736761177.6215038,41837,17.0
1736761196.2056718,41938,26.0
1736761212.118632,42020,22.0
1736761226.1123817,42097,19.0
1736761240.9913547,42179,21.0
1736761256.389793,42265,21.0
1736761270.4970992,42343,19.0
1736761282.7775168,42404,16.0
1736761293.5162857,42463,16.0
1736761308.6774435,42544,21.0
1736761319.7273462,42606,16.0
1736761329.287477,42658,13.0
1736761342.6180818,42730,18.0
1736761352.3141265,42782,13.0
1736761362.29809,42838,14.0
1736761375.33255,42905,18.0
1736761388.0668185,42975,18.0
1736761402.0236325,43052,19.0
1736761417.3906395,43136,21.0
1736761431.2945738,43214,19.0
1736761444.7810988,43290,18.0
1736761455.1667233,43347,15.0
1736761467.9073062,43418,18.0
1736761479.7408729,43483,16.0
1736761492.4007063,43554,17.0
1736761507.2594824,43635,21.0
1736761518.4955158,43696,15.0
1736761531.7345989,43769,18.0
1736761546.9242635,43849,21.0
1736761559.3961308,43918,18.0
1736761569.735998,43976,14.0
1736761581.8175073,44040,16.0
1736761594.6640909,44112,18.0
1736761607.1659138,44182,17.0
1736761619.3298311,44249,17.0
1736761629.8254766,44306,14.0
1736761641.1917527,44370,16.0
1736761651.650998,44428,14.0
1736761662.8691266,44492,15.0
1736761676.9568646,44571,20.0
1736761685.987027,44622,12.0
1736761697.134853,44684,15.0
1736761709.5980375,44753,18.0
1736761723.3552647,44825,18.0
1736761736.0717607,44894,17.0
1736761750.6483784,44975,22.0
1736761765.8166168,45058,22.0
1736761779.1522577,45132,18.0
1736761794.2726262,45216,21.0
1736761808.354979,45293,19.0
1736761822.2605672,45371,19.0
1736761836.0139496,45448,19.0
1736761845.707843,45502,13.0
1736761858.9550292,45576,18.0
1736761868.1928444,45626,13.0
1736761879.3778536,45689,15.0
1736761891.1781797,45754,16.0
1736761904.040966,45826,18.0
1736761914.6489367,45885,14.0
1736761925.263357,45943,15.0
1736761933.1038318,45987,11.0
1736761945.7286375,46056,17.0
1736761959.4232044,46132,19.0
1736761973.2005086,46207,20.0
1736761989.4002163,46296,22.0
1736762004.5896473,46381,21.0
1736762016.3537908,46447,15.0
1736762028.4615355,46512,16.0
1736762042.3378193,46585,19.0
1736762057.922879,46666,21.0
1736762069.3415065,46715,15.0
1736762082.8370967,46788,18.0
1736762094.688715,46854,16.0
1736762111.413107,46935,19.0
1736762123.448844,47002,17.0
1736762137.1132498,47076,18.0
1736762151.4374747,47153,19.0
1736762160.4386778,47203,13.0
1736762171.9797158,47267,17.0
1736762185.499174,47343,18.0
1736762199.5799325,47419,19.0
1736762214.4538016,47501,20.0
1736762226.3144035,47566,17.0
1736762244.0643222,47663,25.0
1736762257.6887157,47739,19.0
1736762273.5580642,47827,22.0
1736762287.6246684,47902,19.0
1736762301.0018454,47976,18.0
1736762313.851583,48049,17.0
1736762328.9752045,48132,21.0
1736762339.6619182,48191,16.0
1736762349.5006073,48246,13.0
1736762362.3001792,48316,19.0
1736762377.1035213,48399,20.0
1736762389.765606,48470,17.0
1736762401.7779655,48535,17.0
1736762413.5755916,48601,16.0
1736762427.5456674,48681,19.0
1736762442.9382536,48765,21.0
1736762452.8391283,48820,14.0
1736762465.1871786,48889,17.0
1736762477.2219746,48957,17.0
1736762492.6730478,49043,22.0
1736762504.108363,49107,16.0
1736762518.8200166,49189,20.0
1736762533.5566597,49268,20.0
1736762543.1309764,49322,13.0
1736762555.057608,49389,17.0
1736762567.454779,49459,17.0
1736762580.685752,49532,18.0
1736762589.0981307,49580,12.0
1736762596.845599,49622,11.0
1736762608.7722816,49687,17.0
1736762621.4339638,49759,18.0
1736762635.4661584,49838,19.0
1736762648.2219918,49908,17.0
1736762662.050929,49984,20.0
1736762681.2975676,50091,27.0
1736762691.0948136,50145,14.0
1736762705.8950167,50229,22.0
1736762721.286411,50314,20.0
1736762734.6955695,50388,19.0
1736762747.431585,50460,17.0
1736762761.665946,50534,19.0
1736762776.7416446,50620,21.0
1736762789.9461453,50694,18.0
1736762801.540851,50759,16.0
1736762811.8943992,50816,14.0
1736762824.6128767,50887,17.0
1736762837.997115,50962,18.0
1736762848.9248643,51024,15.0
1736762862.5040767,51100,20.0
1736762879.5150144,51195,23.0
1736762893.4410086,51273,19.0
1736762906.5038004,51345,18.0
1736762918.1790252,51411,16.0
1736762930.726417,51482,17.0
1736762944.0863254,51556,19.0
1736762956.0638747,51623,16.0
1736762969.6212611,51699,19.0
1736762983.2217274,51774,19.0
1736762993.107133,51829,14.0
1736763005.1310372,51898,17.0
1736763019.3332264,51976,19.0
1736763033.3094504,52054,19.0
1736763047.3944402,52131,19.0
1736763059.9134645,52203,18.0
1736763073.9075725,52280,19.0
1736763089.476983,52367,21.0
1736763101.3389263,52433,16.0
1736763115.4303353,52510,19.0
1736763129.057252,52584,19.0
1736763142.0484555,52654,17.0
1736763155.3712404,52728,18.0
1736763169.704701,52808,19.0
1736763183.6773555,52886,19.0
1736763198.2207222,52968,19.0
1736763210.0692983,53033,16.0
1736763220.5085504,53092,14.0
1736763235.3289928,53176,21.0
1736763246.6703603,53240,16.0
1736763258.0614057,53303,16.0
1736763268.204667,53361,14.0
1736763279.7077253,53423,17.0
1736763292.5937486,53495,18.0
1736763303.860655,53556,15.0
1736763318.1055603,53634,19.0
1736763333.9531274,53719,21.0
1736763346.2811418,53785,17.0
1736763357.4840786,53848,15.0
1736763372.3141434,53931,19.0
1736763387.7395,54012,17.0
1736763397.6800995,54067,14.0
1736763407.8429534,54121,12.0
1736763418.483066,54181,16.0
1736763429.0657828,54240,14.0
1736763440.8121433,54306,16.0
1736763453.0773802,54373,17.0
1736763462.76726,54426,14.0
1736763475.2973468,54496,18.0
1736763488.5839543,54571,18.0
1736763496.238166,54615,12.0
1736763506.2309399,54670,14.0
1736763515.9793272,54726,13.0
1736763528.641195,54794,18.0
1736763539.3756785,54854,15.0
1736763549.2076027,54908,14.0
1736763559.046628,54963,14.0
1736763571.2654326,55031,17.0
1736763581.7830377,55090,15.0
1736763595.242941,55163,19.0
1736763606.5762985,55228,17.0
1736763619.3240585,55299,17.0
1736763630.0360208,55359,15.0
1736763643.12721,55426,17.0
1736763653.041524,55480,14.0
1736763665.7856956,55551,17.0
1736763677.661237,55617,16.0
1736763688.825991,55679,15.0
1736763703.8416455,55763,21.0
1736763716.5033357,55833,17.0
1736763729.4130862,55903,18.0
1736763743.4030848,55981,19.0
1736763757.5944734,56060,19.0
1736763771.7373824,56140,19.0
1736763785.3859475,56216,20.0
1736763798.6558373,56290,18.0
1736763808.8691013,56349,14.0
1736763820.1636763,56412,16.0
1736763831.7525861,56478,16.0
1736763846.5190203,56560,20.0
1736763859.1686423,56629,17.0
1736763872.4287226,56702,19.0
1736763887.9419003,56788,20.0
1736763901.5111916,56864,19.0
1736763914.2195435,56935,17.0
1736763926.9508536,57006,17.0
1736763941.0088625,57084,19.0
1736763953.0208192,57151,17.0
1736763964.9772933,57219,16.0
1736763977.491572,57289,17.0
1736763990.9301558,57365,18.0
1736764003.8231158,57434,17.0
1736764018.380139,57515,20.0
1736764032.7290268,57595,20.0
1736764045.138588,57666,17.0
1736764055.758197,57726,15.0
1736764067.655347,57793,17.0
1736764081.568597,57872,19.0
1736764097.7062867,57964,22.0
1736764109.138699,58027,16.0
1736764120.3284338,58090,17.0
1736764132.709089,58160,17.0
1736764142.8964913,58218,14.0
1736764154.128879,58282,16.0
1736764166.7724755,58352,17.0
1736764179.417919,58422,17.0
1736764190.3940086,58485,15.0
