lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,18,76.914547,2294
0,0,-25.0,16,96.301386,2196
0,0,-25.0,21,112.175287,2775
0,0,-25.0,11,62.830174,1337
0,0,-25.0,12,73.47128,1605
0,0,-25.0,23,119.811279,2851
0,0,-25.0,27,96.13488,3094
0,0,-25.0,17,54.570527,1835
0,0,-25.0,23,102.618025,3109
0,0,-25.0,12,35.012827,1256
0,0,-25.0,20,66.285287,2497
0,0,-25.0,24,84.008553,2917
1,240,-15.0,28,98.327912,3067
0,0,-25.0,22,88.56917,3010
0,0,-25.0,17,62.589358,2263
0,0,-25.0,20,62.090663,2382
0,0,-24.0,17,64.473369,2308
0,0,-25.0,21,82.36341,2707
0,0,-25.0,15,64.076122,2165
0,0,-25.0,18,63.239407,2227
0,0,-25.0,20,93.240373,2824
0,0,-25.0,24,94.87184,2997
0,0,-25.0,25,92.926858,3040
0,0,-25.0,15,63.334208,1951
0,0,-24.0,18,74.398342,2543
0,0,-25.0,25,100.127339,3323
0,0,-25.0,23,86.318113,2829
0,0,-25.0,19,68.182153,2542
0,0,-25.0,16,65.305388,2198
0,0,-25.0,16,40.881178,1522
1,240,-15.0,21,94.142359,3212
0,0,-25.0,11,36.10263,1279
0,0,-25.0,24,89.421149,3144
0,0,-25.0,27,104.99095,3352
0,0,-25.0,10,38.247224,1103
0,0,-24.0,24,96.528508,3202
0,0,-25.0,21,74.521883,2608
0,0,-25.0,24,98.568129,3042
0,0,-25.0,18,61.331386,2284
0,0,-25.0,12,41.799612,1370
0,0,-24.0,17,70.484721,2411
0,0,-25.0,12,51.577528,1606
0,0,-25.0,19,76.96012,2610
0,0,-25.0,21,89.103754,2922
0,0,-25.0,15,53.624934,1804
0,0,-25.0,18,84.070009,2679
0,0,-24.0,17,65.114161,2197
0,0,-25.0,19,63.382218,2395
0,0,-25.0,16,63.238033,2072
0,0,-25.0,23,76.419681,2696
